# INITIAL SELECTION OF ULTRA-LUMINOUS INFRARED GALAXIES
# -----------------------------------------------------
# UPDATE - March 20, 2021
# Found duplicate for IRAS 07598+6508
# Removed the duplicate, 188 ULIRGs in total
# -----------------------------------------------------
# UPDATE - October 19, 2018
# Removed the object VII Zw 852 because it had a value log10(L_IR/L_sun) = 11.97 < 12.
# -----------------------------------------------------
# Made by Pablo Correa on April 16, 2018 for an IceCube analysis
# Spacing = tab (\t)
# Alignment and name spacing made by hand by Pablo Correa on April 17, 2018, but not required if updated later
#
# Legend
# ------
# Name			 = object name in the NASA/IPAC Extragalactic Database (NED)
# RA			 = right ascension (J2000) in NED [in degrees]
# DEC			 = declination (J2000) in NED [in degrees]
# z			 = redshift in NED
# f_60			 = IRAS flux at 60 micron in NED [in Jansky]
# unc_f_60		 = uncertainty on the IRAS flux at 60 micron in NED [in Jansky]
# L_IR			 = the total infrared luminosity between 8 and 1000 micron [in solar luminosities]
# Catalog		 = the original catalog(s) where the object was identified
# RBGS			 = ULIRG in the revised IRAS Revised Bright Galaxy Sample, reference code: 2003AJ....126.1607S
# FSC			 = ULIRG in the IRAS 1 Jy Faint Source Catalog, reference code: 1998ApJS..119...41K
# PSCz + Spitzer	 	 = ULIRG in the IRAS Point Source Catalog Redshift Survey observed by Spitzer, reference code: 2010MNRAS.405.2505N

Row	Name				RA [deg]		DEC [deg]	z		f_60 [Jy]	unc_f_60 [Jy]	log10(L_IR/L_sun)	Catalog
122	2MASX J14280106-1603400		217.00465	-16.06083	0.149553		1.148		0.126		12.15			FSC & PSCz + Spitzer	
123	IRAS 14348-1447			219.41000	-15.00556	0.083000		6.82		0.04		12.30			RBGS & FSC & PSCz + Spitzer	
124	2MASX J14405901-3704322		220.24587	-37.07554	0.067637		6.72		0.042		12.15			RBGS & PSCz + Spitzer	
125	2MASX J14410437+5320088		220.26825	53.33575		0.104542		1.954		0.078		12.04			FSC	
126	IRAS 14484-2434			222.84928	-24.77511	0.148000		1.02		0.071		12.04			FSC	
127	2MASX J15023198+1421352		225.63313	14.35982		0.162746		1.871		0.094		12.38			FSC & PSCz + Spitzer	
128	SDSS J150539.53+574307.1		226.41484	57.71868		0.150579		1.019		0.041		12.05			FSC	
129	2MASX J15155520-2009172		228.97992	-20.15468	0.108692		1.916		0.134		12.09			FSC & PSCz + Spitzer	
130	SBS 1517+522			229.78056	52.10168		0.139063		0.78		0.047		12.15			PSCz + Spitzer	
131	SDSS J152238.10+333135.8		230.65852	33.52663		0.124409		1.767		0.088		12.18			FSC & PSCz + Spitzer	
132	2MASX J15244389+2340099		231.18283	23.66949		0.139000		1.3		0.091		12.10			FSC & PSCz + Spitzer	
133	IRAS 15250+3609			231.74752	35.97709		0.055155		7.1		0.043		12.02			RBGS & PSCz + Spitzer	
134	ARP 220				233.73856	23.50314		0.018126		104.09		0.112		12.21			RBGS & FSC & PSCz + Spitzer	
135	IRAS 15462-0450			237.23672	-4.99267		0.099792		2.923		0.205		12.16			FSC & PSCz + Spitzer	
136	2MASX J16114042-0147062		242.91847	-1.78516		0.133580		3.609		0.144		12.49			FSC & PSCz + Spitzer	
137	GALEXASC J161809.36+013922.3	244.53915	1.65591		0.132000		1.126		0.068		12.04			FSC & PSCz + Spitzer	
138	IRAS 16255+2801			246.90877	27.91446		0.133612		0.885		0.089		12.04			PSCz + Spitzer	
139	SDSS J163221.37+155145.4		248.08908	15.86265		0.241747		1.483		0.133		12.63			FSC & PSCz + Spitzer	
140	GALEXASC J163452.60+462453.1	248.71904	46.41467		0.191020		1.188		0.059		12.35			FSC & PSCz + Spitzer	
141	SDSS J164658.91+454824.3		251.74548	45.80675		0.190600		0.944		0.066		12.37			PSCz + Spitzer	
142	GALEXASC J164801.56+515545.3	252.00674	51.92909		0.150000		1.012		0.051		12.02			FSC & PSCz + Spitzer	
143	2MASX J16491420+3425096		252.30918	34.41937		0.111470		2.272		0.114		12.11			FSC & PSCz + Spitzer	
144	SBS 1648+547			252.44595	54.70986		0.103758		2.881		0.115		12.12			FSC & PSCz + Spitzer	
145	2MASX J16551989+5256348		253.83283	52.94300		0.193597		0.679		0.048		12.25			PSCz + Spitzer	
146	2MASX J17034196+5813443		255.92475	58.22908		0.106090		2.428		0.146		12.10			FSC & PSCz + Spitzer	
147	IRAS 17044+6720			256.11858	67.27314		0.135000		1.281		0.064		12.13			FSC & PSCz + Spitzer	
148	SDSS J170831.96+402328.0		257.13317	40.39112		0.179000		1.328		0.08		12.30			FSC & PSCz + Spitzer	
149	2MASX J17185436+5441486		259.72666	54.69679		0.147000		1.362		0.068		12.20			FSC & PSCz + Spitzer	
150	2MASX J17232194-0017009		260.84148	-0.28359		0.042810		32.13		0.057		12.39			RBGS & PSCz + Spitzer	
151	IRAS 17463+5806			266.77337	58.08835		0.309000		0.654		0.039		12.64			PSCz + Spitzer	
152	IRAS 18030+0705			271.36279	7.09932		0.145794		0.837		0.075		12.38			PSCz + Spitzer	
153	2MASX J18383543+3552197		279.64754	35.87219		0.116170		2.233		0.134		12.29			PSCz + Spitzer	
