,Name,RA,Dec,Redshift,D_L [Mpc],log(LIR),LIR_unc x 1e11,AGNbol,AGNbol_unc,SFR [M$_{\odot}$],un-corr SFR [M$_{\odot}$],Supernova rate [yr$^{-1}$] ,un-corr Supernova rate [yr$^{-1}$] ,Flux(TeV) [GeV cm$^{-2}$ s$^{-1}$],Flux(TeV) no AGN [GeV cm$^{-2}$ s$^{-1}$],SigmaIR (x 10$^{10}$ ),R_70 (kpc)
212,ESO343-IG013a,21h36m10.89s,-38d32m33.0s,0.01906,85.8,10.92,0.007,0.09,0.04,14.18,15.58,0.1730909057565379,0.1902097865456461,2.568706955937708e-12,2.8227548966348446e-12,0.232,2.3887245519652236
213,NGC7130,21h48m19.38s,-34d57m05.3s,0.01615,72.7,11.4,0.046,0.22,0.04,37.38,47.92,0.4480510102503432,0.5744243721158246,9.261333557962775e-12,1.1873504561490741e-11,19.246,0.45576379751481244
214,ESO467-G027,22h14m39.88s,-27d27m50.7s,0.0174,77.3,11.02,0.078,0.11,0.07,17.45,19.61,0.21311934113028955,0.23945993385425793,3.896536636326667e-12,4.3781310520524345e-12,0.152,3.3112217938531603
215,IC5179,22h16m09.13s,-36d50m36.6s,0.01141,51.4,11.17,0.027,0.1,0.07,25.4,28.22,0.3044215323018188,0.3382461470020209,1.2588211080309376e-11,1.3986901200343753e-11,0.981,1.54908611822863
216,ESO602-G025,22h31m25.44s,-19d02m04.3s,0.02504,110.0,11.43,0.133,0.14,0.04,43.94,51.1,0.5293358515441424,0.6155068041210958,4.7792618547009206e-12,5.557281226396421e-12,6.498,0.8119330358896103
217,UGC12150,22h41m12.27s,+34d14m56.5s,0.02139,93.5,11.43,0.081,0.07,0.02,47.63,51.21,0.5724213278326191,0.6155068041210958,7.153317011140028e-12,7.691738721655947e-12,14.474,0.5440211468825312
218,ESO239-IG002,22h49m39.91s,-48d50m58.3s,0.04303,191.0,11.84,0.164,0.03,0.02,127.99,131.95,1.534633210771054,1.5820960935784065,4.5957113653660245e-12,4.7378467684185825e-12,81.207,0.36822505220771307
219,IRASF22491-1808,22h51m49.28s,-17d52m23.0s,0.07776,351.0,12.22,0.278,0.02,0.02,308.04,314.33,3.719280506521468,3.795184190328028,3.2980678645482687e-12,3.365375371988028e-12,31.771,0.9117895774659439
220,NGC7469,23h03m15.67s,+08d52m27.1s,0.01632,70.8,11.58,0.059,0.24,0.06,54.25,71.39,0.6607641170417773,0.869426469791812,1.4401072011346997e-11,1.8948778962298674e-11,18.129,0.5777276340344466
221,CGCG453-062,23h04m56.46s,+19d33m07.5s,0.0251,109.0,11.38,0.054,0.08,0.03,42.04,45.7,0.5046853352725811,0.5485710166006316,4.640690195231499e-12,5.044228473077717e-12,7.345,0.7209649731174439
